name,ranking,price,rating,year,country,region,sub_region,vineyard,style,color,blurb
Castelgiocondo 2013  Brunello di Montalcino,35,79,96,2013,Italy,Tuscany,N/A,Castelgiocondo ,Brunello di Montalcino,Red,"Wild berry, crushed violet, pipe tobacco and chopped herb aromas leap out ..."
René Muré 2016 Signature Pinot Gris (Alsace),34,25,93,2016,France,Alsace,Alsace,René Muré , Signature Pinot Gris ,White,Gentle pear fruit has a touch of herbal tisane. The same gentle ...
Binyamina 2014 Yogev Cabernet Sauvignon-Shiraz (Israel),33,16,92,2014,Israel,Israel,Israel,Binyamina ,Cabernet Sauvignon-Shiraz ,Red,"This inky-purple-colored wine has a nose of pomegranate, cherry and orange zest. ..."
Robert Mondavi 2014 Fumé Blanc (Oakville),32,40,94,2014,USA,California,Napa,Robert Mondavi , Fumé Blanc ,White,A blend of 79% Sauvignon Blanc and 21% Sémillon largely fermented in ...
Castello di Ama 2013 San Lorenzo Gran Selezione  (Chianti Classico),31,53,95,2013,Italy,Tuscany,Chianti Classico,Castello di Ama ,Chianti,Red,"Fragrant and refined, this radiant wine opens with scents of violet, red ..."
Poças 2016 Vintage  (Port),30,100,96,2016,Portugal,Portugal,Port,Poças , Vintage  ,Port,Densely textured with dusty tannins and full of black plum skin and ...
Trefethen 2015 Family Owned Estate Grown Cabernet Sauvignon (Oak Knoll District),29,60,95,2015,USA,Napa,Oak Knoll District,Trefethen ,Cabernet Sauvignon ,Red,"Blended with small amounts of Petit Verdot, Malbec and Merlot, this is ..."
Domaine du Haut Bourg 2009 Origine du Haut Bourg  (Muscadet Côtes de Grandlieu),28,23,93,2009,France,Loire Valley,Muscadet Côtes de Grandlieu,Domaine du Haut Bourg , Origine du Haut Bourg  ,White,"Even at nine years old, this wine is only just mature. It ..."
Villa Creek 2015 Willow Creek Cuvée Red (Willow Creek),27,50,95,2015,USA,California,North Coast,Villa Creek , Willow Creek Cuvée Red ,Red,Cris Cherry is on the leading edge of Paso Robles vintners who ...
Arpepe 2007 Sassella Riserva Rocce Rosse  (Valtellina Superiore),26,110,98,2007,Italy,Lombardy,Valtellina Superiore,Arpepe , Sassella Riserva Rocce Rosse  ,Red,"Intoxicating scents of smoke, flint, dried mountain herb and woodland berry are ..."
Big Table Farm 2016 Chardonnay (Willamette Valley),25,45,95,2016,USA,Oregon,Willamette Valley,Big Table Farm , Chardonnay ,White,This stunning wine was fermented in 10% new French oak and shows ...
Massican 2017 Annia White (Napa Valley),24,30,94,2017,USA,California,Napa Valley,Massican , Annia White ,White,"This is a refreshingly stunning blend of 55% Ribolla Gialla, 39% Tocai ..."
Biondi 2016 Outis Rosso  (Etna),23,40,95,2016,Italy,Sicily & Sardinia,Etna,Biondi , Outis Rosso  ,Red,"This fragrant, exquisite red has captivating scents of wild red berry, rose ..."
Melville 2016 Sandy's Pinot Noir (Sta. Rita Hills),22,50,96,2016,USA,California,Central Coast,Melville , Pinot Noir ,Red,"Aromas of snappy pomegranate, smashed pine, dewy chaparral and dried carnation show ..."
Nikolaihof 2004 Steinriesler Riesling (Wachau),21,80,98,2004,Austria,Austria,Wachau,Nikolaihof ,Riesling ,White,"Swirl this awake to reveal a world of dried hayflower, lemon peel ..."
Paltrinieri 2017 L'Eclisse  (Lambrusco di Sorbara),20,24,94,2017,Italy,Central Italy,Lambrusco di Sorbara,Paltrinieri , L'Eclisse  ,Sparkling,"Made by the firm that helped put quality Lambrusco on the map, ..."
Maximin Grünhäuser 2016 Abtsberg Spätlese Grosse Lage Riesling (Mosel),19,46,94,2016,Germany,Germany,Mosel,Maximin Grünhäuser ,Riesling ,White,"Vibrant acidity shines a spotlight on pristine yellow peach, pineapple and tangerine ..."
Franchetti–Passopisciaro 2016 Contrada R Nerello Mascalese (Terre Siciliane),18,66,98,2016,Italy,Sicily & Sardinia,Terre Siciliane,Franchetti–Passopisciaro , Contrada R Nerello Mascalese ,Red,"Compelling aromas of Mediterranean brush, dark spice, pressed flower, graphite and aromatic ..."
Forstreiter 2016 Alte Reben Reserve Grüner Veltliner (Kremstal),17,17,93,2016,Austria,Austria,Kremstal,Forstreiter , Alte Reben Reserve Grüner Veltliner ,White,"A tropical touch of passion fruit clings to the otherwise earthy, savory ..."
Château la Vieille Cure 2015  Fronsac,16,22,94,2015,France,Bordeaux,N/A,Château la Vieille Cure ,Fronsac,Red,Dense tannins and rich black fruits mark this ripe wine that was ...
The Calling 2016 Dutton Ranch Chardonnay (Russian River Valley),15,32,94,2016,USA,California,Sonoma,The Calling ,Chardonnay ,White,"Luxurious in green olive, peach and lemon, this is a complex, compelling ..."
J Wrigley 2017 Estate Riesling (McMinnville),14,25,96,2017,USA,Oregon,Willamette Valley,J Wrigley , Riesling ,White,"This is a deft, detailed wine, offering a mix of tangy citrus, ..."
Vignobles Brumont 2014 Château Bouscassé Red (Madiran),13,25,94,2014,France,Southwest France,Madiran,Vignobles Brumont , Château Bouscassé Red ,Red,"From the home estate of the Brumont family, certainly the leaders in ..."
Stolo 2016 Estate Syrah (San Luis Obispo County),12,36,96,2016,USA,California,Central Coast,Stolo , Estate Syrah ,Red,"A gamy meat aroma meets black cherry, black plum, hickory, licorice and ..."
José Maria da Fonseca 2016 José de Sousa Red (Alentejano),11,17,93,2016,Portugal,Portugal,Alentejano,José Maria da Fonseca , José de Sousa Red ,Red,"This rich, full wine is firmly anchored in ripe tannins. It has ..."
Zuccardi 2017 Concreto Malbec (Paraje Altamira),10,38,93,2017,Argentina,Mendoza Province,Paraje Altamira,Zuccardi , Concreto Malbec ,Red,Calm and pure blackberry and cassis aromas feed into an intense palate ...
Ramey 2015 Chardonnay (Sonoma Coast),9,42,95,2015,USA,California,Sonoma,Ramey , Chardonnay ,White,This combines grapes from the Martinelli family's Charles Ranch Vineyard in Fort ...
Ca' dei Zago 2015 Dosaggio Zero Metodo Classico  (Prosecco di Valdobbiadene),8,40,93,2015,Italy,Veneto,Prosecco di Valdobbiadene,Ca' dei Zago ,Dosaggio Zero Metodo Classico  ,White,"This elegant, savory sparkler opens with inviting aromas of dried wildflower, mature ..."
Franz Keller 2016 Vom Löss Pinot Noir (Baden),7,25,93,2016,Germany,Germany,Baden,Franz Keller ,Pinot Noir ,Red,"The nose of this wine is beautifully perfumed, suggesting whiffs of cherry ..."
Edmeades 2014 Zinfandel (Mendocino County),6,20,93,2014,USA,California,Mendocino County,Edmeades , Zinfandel ,Red,"Tight, concentrated aromas of black fig and dark chocolate meet beefy, earthy ..."
Elk Cove 2017 Estate Pinot Blanc (Willamette Valley),5,19,92,2017,USA,Oregon,Willamette Valley,Elk Cove ,Pinot Blanc ,White,"This sophisticated effort is highlighted by bright, polished fruit flavors of apple, ..."
Domaine Saint Damien 2016 Les Souteyrades  (Gigondas),4,33,96,2016,France,Rhône Valley,Gigondas,Domaine Saint Damien , Les Souteyrades  ,Red,"Even among a lineup of fantastic peers in a fantastic vintage, this ..."
Santa Carolina 2015 Reserva de Familia Cabernet Sauvignon (Maipo Valley),3,20,92,2015,Chile,Chile,Maipo Valley,Santa Carolina ,Cabernet Sauvignon ,Red,Elegance mixed with bold fruit is what this overachieving Cabernet is about. ...
Roederer Estate 2011 L'Ermitage Brut Sparkling (Anderson Valley),2,48,95,2011,USA,California,Mendocino County,Roederer Estate , L'Ermitage Brut Sparkling ,Sparkling,"Dry and nicely mature, this complex wine is always among California's best ..."
Michele Chiarlo 2015 Cipressi  (Nizza),1,25,95,2015,Italy,Piedmont,Nizza,Michele Chiarlo , Cipressi  ,Red,"Elegantly structured, delicious and loaded with personality, this benchmark Nizza offers earthy ..."
